video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,67.12,2.29,58.35,6.48,35.17
p5-s10,37.37,6.19,27.07,4.12,68.81
p7-s8,71.88,3.4,55.03,13.44,31.53
p7-s16,53.31,3.19,46.12,4.0,49.88
p9-s3-1,95.38,2.04,89.92,3.42,6.66
p9-s9,77.72,0.98,69.76,6.98,23.26
p11-s4,55.58,10.92,39.48,5.18,55.34
p11-s11,61.58,15.54,38.42,7.63,53.96
p12-s3,96.99,0.13,95.09,1.77,3.14
p12-s6,89.46,0.15,86.36,2.96,10.68
p17-s2,48.43,7.26,22.32,18.85,58.83
p17-s6,40.57,2.71,29.13,8.74,62.13
p18-s15,37.91,2.69,24.7,10.51,64.78
p18-s17,55.98,3.09,19.63,33.26,47.11
