video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,36.25,15.46,11.48,9.31,79.21
p5-s10,20.59,8.46,7.66,4.48,87.87
p7-s8,57.0,11.0,11.75,34.25,54.0
p7-s16,37.52,8.04,7.59,21.88,70.53
p9-s3-1,68.97,15.78,37.44,15.74,46.81
p9-s9,49.92,16.35,24.89,8.68,66.44
p11-s4,28.13,10.86,6.64,10.63,82.73
p11-s11,26.21,9.26,4.7,12.24,83.05
p12-s3,62.09,44.76,3.88,13.45,82.67
p12-s6,74.3,50.73,3.57,20.0,76.43
p17-s2,17.12,8.74,5.34,3.03,91.62
p17-s6,23.62,7.96,10.48,5.19,84.34
p18-s15,16.15,3.84,5.41,6.9,87.69
p18-s17,19.86,5.75,10.15,3.96,85.89
