video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,62.83,2.29,58.35,2.18,39.46
p5-s10,36.23,6.19,27.07,2.98,69.95
p7-s8,68.32,3.4,55.03,9.88,35.08
p7-s16,52.6,3.19,46.12,3.29,50.59
p9-s3-1,98.43,2.04,89.92,6.47,3.61
p9-s9,75.08,0.98,69.76,4.34,25.9
p11-s4,55.61,10.92,39.48,5.21,55.31
p11-s11,67.57,15.54,38.42,13.61,47.97
p12-s3,95.84,0.13,95.09,0.61,4.3
p12-s6,89.02,0.15,86.36,2.51,11.13
p17-s2,35.29,7.26,22.32,5.71,71.97
p17-s6,44.1,2.71,29.13,12.27,58.6
p18-s15,29.81,2.69,24.7,2.41,72.89
p18-s17,30.13,3.09,19.63,7.41,72.96
