video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,47.97,23.04,14.76,10.17,75.07
p5-s10,55.09,35.97,8.2,10.92,80.88
p7-s8,54.36,7.23,18.29,28.84,52.87
p7-s16,72.51,43.9,7.74,20.87,71.39
p9-s3-1,74.39,9.87,34.74,29.79,35.47
p9-s9,45.1,18.77,18.04,8.29,73.66
p11-s4,32.85,18.11,5.72,9.02,85.26
p11-s11,72.84,42.03,3.64,27.17,69.19
p12-s3,90.67,60.03,5.53,25.1,69.37
p12-s6,105.42,76.47,4.17,24.78,71.04
p17-s2,17.07,5.74,6.77,4.57,88.66
p17-s6,33.3,12.6,12.23,8.47,79.3
p18-s15,40.46,20.59,7.76,12.11,80.13
p18-s17,46.32,31.86,8.79,5.66,85.55
