video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,74.05,0.34,64.81,8.9,26.29
p5-s10,60.4,11.11,39.18,10.12,50.7
p7-s8,72.21,2.14,64.96,5.1,29.93
p7-s16,54.08,5.1,45.58,3.4,51.02
p9-s3-1,91.5,2.08,84.48,4.94,10.58
p9-s9,73.5,3.17,61.05,9.27,29.67
p11-s4,62.98,5.02,53.16,4.8,42.04
p11-s11,65.58,0.68,60.15,4.75,35.1
p12-s3,96.57,1.32,91.87,3.39,4.75
p12-s6,94.77,1.18,91.1,2.5,6.41
p17-s2,47.44,12.73,22.9,11.81,65.29
p17-s6,44.15,6.97,30.93,6.25,62.83
p18-s15,60.8,10.09,43.43,7.27,49.29
p18-s17,35.56,0.58,27.59,7.39,65.02
