video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,62.87,36.14,14.76,11.98,73.26
p5-s10,54.24,26.53,8.2,19.52,72.28
p7-s8,58.68,7.23,18.29,33.16,48.55
p7-s16,78.86,47.26,7.74,23.86,68.4
p9-s3-1,65.52,9.87,34.74,20.92,44.34
p9-s9,56.77,28.26,18.04,10.47,71.49
p11-s4,58.2,40.36,5.72,12.12,82.16
p11-s11,84.05,52.06,3.64,28.35,68.01
p12-s3,115.65,87.97,5.53,22.15,72.32
p12-s6,129.01,96.61,4.17,28.23,67.6
p17-s2,35.06,5.74,6.77,22.55,70.68
p17-s6,70.21,42.1,12.23,15.88,71.89
p18-s15,60.22,34.7,7.76,17.76,74.48
p18-s17,55.34,33.66,8.79,12.89,78.32
