video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,72.59,2.88,64.81,4.9,30.3
p5-s10,59.65,12.85,39.18,7.62,53.21
p7-s8,79.45,0.37,64.96,14.12,20.92
p7-s16,68.0,12.31,45.58,10.12,44.31
p9-s3-1,91.19,0.82,84.48,5.89,9.63
p9-s9,72.16,4.73,61.05,6.38,32.57
p11-s4,71.51,5.3,53.16,13.05,33.79
p11-s11,76.55,3.19,60.15,13.22,26.64
p12-s3,93.55,0.47,91.87,1.21,6.92
p12-s6,96.57,1.27,91.1,4.21,4.69
p17-s2,46.06,1.79,22.9,21.37,55.73
p17-s6,48.23,7.94,30.93,9.36,59.71
p18-s15,66.2,10.79,43.43,11.98,44.59
p18-s17,56.84,14.14,27.59,15.11,57.3
