video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,51.25,16.72,26.03,8.49,65.47
p5-s10,54.76,24.15,19.79,10.83,69.39
p7-s8,62.13,4.71,37.64,19.78,42.58
p7-s16,62.05,22.43,21.19,18.43,60.37
p9-s3-1,72.67,4.41,49.21,19.04,31.74
p9-s9,65.81,15.35,27.05,23.41,49.54
p11-s4,41.09,11.02,22.37,7.7,69.93
p11-s11,39.48,17.07,18.02,4.38,77.59
p12-s3,67.35,28.39,18.54,20.41,61.05
p12-s6,64.6,27.39,18.65,18.55,62.8
p17-s2,55.58,4.08,23.97,27.53,48.5
p17-s6,44.75,10.17,27.5,7.07,65.42
p18-s15,76.56,22.9,30.63,23.03,46.34
p18-s17,68.66,26.27,20.15,22.23,57.62
