video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,54.61,7.44,40.03,7.13,52.83
p5-s10,62.4,16.41,36.19,9.8,54.01
p7-s8,71.37,7.01,50.98,13.38,35.64
p7-s16,62.69,22.04,31.86,8.79,59.34
p9-s3-1,87.64,8.52,72.32,6.81,20.87
p9-s9,67.17,4.82,43.54,18.82,37.64
p11-s4,54.84,14.18,33.26,7.4,59.34
p11-s11,37.5,4.55,28.92,4.03,67.05
p12-s3,93.52,2.14,85.68,5.69,8.62
p12-s6,96.3,1.04,91.71,3.55,4.74
p17-s2,52.95,21.54,19.97,11.44,68.59
p17-s6,42.11,6.36,25.61,10.14,64.25
p18-s15,46.02,1.86,38.59,5.57,55.84
p18-s17,38.91,2.34,25.37,11.2,63.43
