video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,62.18,25.1,24.83,12.25,62.92
p5-s10,69.2,31.76,17.85,19.58,62.57
p7-s8,61.57,5.46,33.57,22.55,43.88
p7-s16,76.49,31.56,14.43,30.5,55.07
p9-s3-1,71.57,6.69,41.33,23.55,35.12
p9-s9,58.3,24.15,27.05,7.1,65.85
p11-s4,58.72,27.59,17.76,13.37,68.87
p11-s11,72.18,36.56,16.48,19.14,64.38
p12-s3,92.96,41.44,15.17,36.35,48.48
p12-s6,87.72,42.82,13.7,31.2,55.1
p17-s2,27.01,4.94,16.03,6.04,77.94
p17-s6,47.67,17.35,21.14,9.18,69.68
p18-s15,66.1,22.46,29.33,14.31,56.36
p18-s17,57.69,27.35,20.24,10.09,69.67
