video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,61.33,23.6,25.52,12.21,62.27
p5-s10,68.13,29.86,18.83,19.45,61.72
p7-s8,62.44,4.71,37.64,20.09,42.27
p7-s16,72.77,23.77,20.68,28.32,51.0
p9-s3-1,73.76,4.41,49.21,20.13,30.66
p9-s9,56.92,23.05,26.84,7.04,66.13
p11-s4,57.93,23.6,21.5,12.84,65.66
p11-s11,71.42,34.95,17.93,18.55,63.52
p12-s3,86.58,35.74,18.92,31.91,49.17
p12-s6,78.5,32.65,19.63,26.23,54.14
p17-s2,33.32,4.08,23.97,5.27,70.77
p17-s6,48.79,14.23,25.45,9.11,65.44
p18-s15,64.85,20.21,30.89,13.75,55.36
p18-s17,57.5,27.23,20.15,10.12,69.73
