video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,37.45,14.53,13.89,9.02,77.08
p5-s10,57.05,35.0,9.07,12.98,77.95
p7-s8,58.58,9.49,17.69,31.4,50.91
p7-s16,66.62,39.53,13.76,13.34,72.9
p9-s3-1,84.84,23.08,41.21,20.55,38.24
p9-s9,66.26,15.61,26.55,24.1,49.35
p11-s4,39.04,20.6,12.09,6.35,81.56
p11-s11,36.37,21.34,6.03,9.0,84.97
p12-s3,108.15,58.89,10.52,38.74,50.74
p12-s6,97.8,60.15,13.5,24.15,62.35
p17-s2,35.16,18.28,10.83,6.05,83.12
p17-s6,39.92,16.1,17.48,6.35,76.18
p18-s15,25.57,10.37,8.65,6.56,84.79
p18-s17,25.43,11.4,10.11,3.92,85.97
