video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,59.55,38.51,11.48,9.56,78.96
p5-s10,41.53,25.85,7.66,8.02,84.32
p7-s8,58.88,11.0,11.75,36.13,52.12
p7-s16,74.68,44.05,7.59,23.03,69.37
p9-s3-1,75.08,15.78,37.44,21.86,40.7
p9-s9,64.13,29.4,24.89,9.84,65.28
p11-s4,37.56,24.09,6.64,6.83,86.53
p11-s11,71.82,42.74,4.7,24.38,70.92
p12-s3,112.79,95.62,3.88,13.28,82.84
p12-s6,142.74,113.41,3.57,25.76,70.66
p17-s2,31.63,8.74,5.34,17.54,77.12
p17-s6,36.39,19.63,10.48,6.29,83.24
p18-s15,40.57,25.8,5.41,9.36,85.23
p18-s17,68.59,34.97,10.15,23.46,66.38
