video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,66.39,2.29,58.35,5.75,35.9
p5-s10,65.17,25.92,26.57,12.67,60.76
p7-s8,70.85,3.4,55.03,12.42,32.55
p7-s16,58.44,7.75,44.96,5.72,49.31
p9-s3-1,96.16,2.61,89.76,3.8,6.45
p9-s9,80.24,0.98,69.76,9.5,20.74
p11-s4,54.98,10.92,39.48,4.57,55.94
p11-s11,78.24,28.46,38.11,11.68,50.22
p12-s3,97.47,0.63,95.09,1.74,3.16
p12-s6,89.61,0.97,85.94,2.7,11.36
p17-s2,41.5,15.37,21.0,5.14,73.87
p17-s6,47.95,12.96,27.85,7.14,65.01
p18-s15,33.21,6.06,24.21,2.94,72.85
p18-s17,32.98,3.09,19.63,10.26,70.11
