video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,37.0,14.53,13.89,8.57,77.53
p5-s10,86.03,49.47,8.77,27.78,63.44
p7-s8,57.96,9.49,17.69,30.78,51.53
p7-s16,63.22,25.07,16.18,21.97,61.85
p9-s3-1,93.7,25.58,39.79,28.33,31.88
p9-s9,67.55,31.18,25.52,10.85,63.63
p11-s4,36.14,9.29,13.82,13.04,73.15
p11-s11,83.58,51.51,5.71,26.36,67.93
p12-s3,114.37,74.3,7.26,32.81,59.93
p12-s6,114.77,76.81,7.94,30.02,62.04
p17-s2,48.16,27.01,8.75,12.4,78.85
p17-s6,51.85,16.98,16.48,18.39,65.13
p18-s15,36.82,19.73,8.09,9.0,82.91
p18-s17,22.6,5.72,10.34,6.54,83.12
