video_id,DER,False Alarm %,Missed Speech %,Confusion %,Correct %
p5-s8,75.24,8.42,56.48,10.34,33.18
p5-s10,62.14,21.27,24.63,16.25,59.13
p7-s8,60.62,3.94,50.77,5.9,43.32
p7-s16,68.79,19.62,37.83,11.34,50.83
p9-s3-1,94.46,3.08,87.91,3.47,8.62
p9-s9,77.12,2.39,68.92,5.81,25.27
p11-s4,65.99,23.41,32.98,9.6,57.42
p11-s11,89.8,29.86,36.94,23.0,40.06
p12-s3,96.96,0.38,94.65,1.93,3.42
p12-s6,90.07,0.93,86.81,2.33,10.86
p17-s2,39.74,8.79,12.76,18.19,69.05
p17-s6,52.64,18.24,20.06,14.34,65.6
p18-s15,65.05,29.28,20.34,15.43,64.23
p18-s17,57.28,22.24,19.43,15.61,64.96
