speech_start	speech_end	speaker
5.363	8.232	SPEAKER_02
8.62	12.367	SPEAKER_02
15.421	18.34	SPEAKER_02
18.661	20.888	SPEAKER_02
21.209	24.162	SPEAKER_02
27.773	28.178	SPEAKER_01
36.953	38.658	SPEAKER_02
40.261	42.235	SPEAKER_02
42.708	43.94	SPEAKER_02
44.193	46.994	SPEAKER_02
47.315	50.57	SPEAKER_02
50.605	51.145	SPEAKER_01
55.988	57.473	SPEAKER_01
58.604	59.279	SPEAKER_01
59.313	60.46	SPEAKER_00
60.865	62.941	SPEAKER_01
64.443	68.594	SPEAKER_01
70.231	72.931	SPEAKER_01
75.142	76.88	SPEAKER_02
78.365	80.305	SPEAKER_02
80.93	84.322	SPEAKER_02
84.794	87.899	SPEAKER_02
89.148	89.418	SPEAKER_01
107.103	109.533	SPEAKER_02
110.225	112.199	SPEAKER_02
112.823	117.008	SPEAKER_02
117.397	119.793	SPEAKER_02
120.417	123.505	SPEAKER_02
127.1	128.72	SPEAKER_01
130.964	131.437	SPEAKER_01
139.317	140.684	SPEAKER_02
140.768	141.815	SPEAKER_02
142.574	144.532	SPEAKER_02
144.903	149.645	SPEAKER_02
150.05	151.94	SPEAKER_02
152.26	154.37	SPEAKER_02
154.825	157.913	SPEAKER_02
171.312	171.953	SPEAKER_01
171.953	173.38	SPEAKER_02
173.894	178.687	SPEAKER_02
179.075	186.787	SPEAKER_02
187.259	189.622	SPEAKER_02
189.622	190.465	SPEAKER_00
190.54	190.87	SPEAKER_00
191.343	192.068	SPEAKER_00
192.71	194.448	SPEAKER_01
195.815	197.013	SPEAKER_01
200.759	203.071	SPEAKER_01
204.438	209.382	SPEAKER_02
211.019	211.88	SPEAKER_01
212.808	214.698	SPEAKER_00
216.47	219.862	SPEAKER_02
220.638	223.658	SPEAKER_02
225.43	226.493	SPEAKER_00
227.422	227.725	SPEAKER_00
229.666	231.1	SPEAKER_01
232.889	234.425	SPEAKER_00
235.893	236.045	SPEAKER_01
