	speech_start	speech_end	speaker
	1.09	1.39	SPEAKER_0
	1.752	2.377	SPEAKER_0
	3.878	5.617	SPEAKER_1
	5.617	6.477	SPEAKER_0
	6.477	7.051	SPEAKER_1
	7.42	9.06	SPEAKER_0
	9.683	15.134	SPEAKER_2
	15.32	19.538	SPEAKER_2
	20.18	23.285	SPEAKER_2
	24.702	27.217	SPEAKER_1
	28.432	29.596	SPEAKER_1
	30.108	32.008	SPEAKER_1
	32.768	33.325	SPEAKER_1
	34.287	34.717	SPEAKER_1
	34.717	35.533	SPEAKER_0
	36.042	45.357	SPEAKER_1
	47.112	54.115	SPEAKER_1
	55.685	56.174	SPEAKER_1
	56.832	62.148	SPEAKER_1
	63.667	71.868	SPEAKER_1
	73.505	73.859	SPEAKER_1
	76.717	77.424	SPEAKER_1
	79.242	80.373	SPEAKER_1
	81.487	82.33	SPEAKER_1
	82.462	82.987	SPEAKER_0
	83.816	85.341	SPEAKER_0
	86.682	87.507	SPEAKER_1
	87.608	88.841	SPEAKER_0
	88.924	89.566	SPEAKER_1
	89.624	91.249	SPEAKER_0
	92.489	93.029	SPEAKER_1
	94.583	95.5	SPEAKER_0
	95.712	96.235	SPEAKER_1
	98.311	98.699	SPEAKER_1
	98.851	99.695	SPEAKER_0
	100.849	101.249	SPEAKER_0
	101.358	101.6	SPEAKER_1
	103.724	105.974	SPEAKER_1
	106.717	108.892	SPEAKER_0
	110.073	110.461	SPEAKER_1
	111.391	112.116	SPEAKER_0
	112.174	113.091	SPEAKER_1
	113.091	115.541	SPEAKER_0
	116.249	116.435	SPEAKER_1
	116.89	118.78	SPEAKER_0
	119.8	121.316	SPEAKER_1
	121.632	122.617	SPEAKER_1
	123.421	127.066	SPEAKER_1
	128.99	130.222	SPEAKER_1
	130.762	132.55	SPEAKER_1
	132.82	134.457	SPEAKER_1
	134.66	135.892	SPEAKER_0
	136.398	137.005	SPEAKER_1
	137.805	138.639	SPEAKER_1
	140.482	141.292	SPEAKER_1
	142.017	143.738	SPEAKER_0
	145.467	146.758	SPEAKER_1
	146.928	147.923	SPEAKER_0
	147.974	148.598	SPEAKER_1
	148.75	150.058	SPEAKER_0
	150.438	151.197	SPEAKER_0
	151.566	155.299	SPEAKER_1
	157.171	158.318	SPEAKER_0
	158.977	160.09	SPEAKER_1
	160.1	161.1	SPEAKER_0
	161.407	161.913	SPEAKER_1
	162.025	163.142	SPEAKER_0
	163.516	164.647	SPEAKER_1
	165.727	167.583	SPEAKER_1
	168.713	169.152	SPEAKER_1
	169.827	171.768	SPEAKER_1
	172.524	172.816	SPEAKER_1
	172.875	173.3	SPEAKER_0
	174.805	176.122	SPEAKER_0
	177.067	182.408	SPEAKER_1
	182.608	183.15	SPEAKER_0
	183.8	190.465	SPEAKER_1
	191.067	191.675	SPEAKER_1
	191.675	192.925	SPEAKER_0
	193.05	193.667	SPEAKER_1
	193.667	194.558	SPEAKER_0
	195.055	196.034	SPEAKER_0
	196.108	196.799	SPEAKER_1
	196.85	199.025	SPEAKER_0
	199.217	200.033	SPEAKER_1
	200.25	201.375	SPEAKER_0
	201.433	201.733	SPEAKER_1
	202.902	203.527	SPEAKER_0
	203.847	204.455	SPEAKER_0
	207.9	209.458	SPEAKER_1
	209.642	211.517	SPEAKER_0
	212.217	214.411	SPEAKER_1
	215.187	215.542	SPEAKER_1
	216.267	220.958	SPEAKER_1
	220.958	222.072	SPEAKER_0
	223.591	223.833	SPEAKER_1
	224.1	224.758	SPEAKER_0
	229.615	230.155	SPEAKER_2
	232.99	236.062	SPEAKER_2
	236.45	238.289	SPEAKER_2
	238.323	242.204	SPEAKER_2
	242.609	245.815	SPEAKER_2
	248.212	248.903	SPEAKER_2
	251.266	255.94	SPEAKER_2
	256.143	258.303	SPEAKER_2
	258.725	261.83	SPEAKER_2
	262.268	263.271	SPEAKER_1
	263.271	263.792	SPEAKER_0
	264.243	265.576	SPEAKER_0
	266.116	266.757	SPEAKER_0
	274.642	274.892	SPEAKER_1
	306.243	306.8	SPEAKER_2
	309.502	311.392	SPEAKER_2
	311.932	313.265	SPEAKER_2
	313.4	315.88	SPEAKER_2
	316.285	319.353	SPEAKER_2
	319.446	321.672	SPEAKER_1
	322.053	324.073	SPEAKER_0
	324.318	329.093	SPEAKER_1
	330.697	334.156	SPEAKER_0
	335.202	335.489	SPEAKER_0
	335.793	336.383	SPEAKER_1
	336.856	343.927	SPEAKER_1
	344.551	345.901	SPEAKER_0
	348.533	349.242	SPEAKER_0
	349.748	350.018	SPEAKER_0
	350.018	350.761	SPEAKER_1
	350.952	353.205	SPEAKER_2
	353.832	356.026	SPEAKER_2
	359.03	360.818	SPEAKER_1
	360.886	367.006	SPEAKER_1
	367.006	368.023	SPEAKER_0
	368.075	370.235	SPEAKER_1
	370.707	371.433	SPEAKER_2
	374.032	382.064	SPEAKER_2
	382.553	385.418	SPEAKER_2
	387.65	388.122	SPEAKER_1
	390.367	392.206	SPEAKER_1
	393.016	393.623	SPEAKER_1
	393.995	394.636	SPEAKER_2
	394.917	396.241	SPEAKER_2
	396.893	400.252	SPEAKER_2
	400.407	401.217	SPEAKER_2
	401.42	404.744	SPEAKER_2
	405.065	407.647	SPEAKER_2
	410.971	412.743	SPEAKER_0
	413.941	414.852	SPEAKER_1
	416.32	417.67	SPEAKER_1
	418.126	418.868	SPEAKER_0
	418.868	419.881	SPEAKER_1
	420.37	421.518	SPEAKER_1
	421.518	422.429	SPEAKER_0
	422.429	425.483	SPEAKER_1
	425.855	428.133	SPEAKER_1
	428.42	429.112	SPEAKER_2
	431.609	433.786	SPEAKER_2
	434.208	440.452	SPEAKER_2
	440.738	443.54	SPEAKER_2
	443.742	446.881	SPEAKER_2
	447.37	450.391	SPEAKER_2
	451.758	456.01	SPEAKER_1
	457.698	459.554	SPEAKER_02
	459.605	464.026	SPEAKER_0
	464.026	464.347	SPEAKER_1
	464.347	465.258	SPEAKER_0
	465.697	466.102	SPEAKER_0
	468.127	469.831	SPEAKER_1
	471.417	473.307	SPEAKER_1
	473.51	475.923	SPEAKER_1
	476.414	477.594	SPEAKER_0
	478.538	479.602	SPEAKER_0
	480.395	481.34	SPEAKER_1
	482.414	486.619	SPEAKER_1
	491.115	492.61	SPEAKER_1
	502.163	503.598	SPEAKER_0
	510.989	512.761	SPEAKER_0
	519.005	520.372	SPEAKER_0
	520.844	522.363	SPEAKER_0
	530.277	530.851	SPEAKER_2
	530.868	532.117	SPEAKER_2
	532.623	536.842	SPEAKER_2
	537.449	540.419	SPEAKER_2
	540.942	543.035	SPEAKER_2
	543.575	545.431	SPEAKER_1
	545.849	546.154	SPEAKER_0
	546.764	549.633	SPEAKER_1
	550.136	550.845	SPEAKER_1
	550.964	551.364	SPEAKER_0
	551.675	552.805	SPEAKER_0
	553.042	555.151	SPEAKER_0
	555.742	557.007	SPEAKER_0
	557.21	558.34	SPEAKER_0
	560.467	561.226	SPEAKER_0
	561.563	562.441	SPEAKER_0
	562.475	563.214	SPEAKER_1
	563.555	564.268	SPEAKER_1
	564.404	564.972	SPEAKER_0
	567.217	570.457	SPEAKER_1
	571.553	572.06	SPEAKER_2
	572.836	574.27	SPEAKER_1
	574.709	579.468	SPEAKER_2
	579.856	584.159	SPEAKER_2
	584.851	587.939	SPEAKER_2
	589.681	591.356	SPEAKER_1
	592.023	593.98	SPEAKER_0
	594.824	598.013	SPEAKER_2
	598.739	601.827	SPEAKER_2
	603.413	604.394	SPEAKER_1
	605.523	607.261	SPEAKER_0
	608.24	609.151	SPEAKER_0
	609.742	610.366	SPEAKER_0
	610.501	610.725	SPEAKER_1
	612.205	612.847	SPEAKER_1
	613.825	615.563	SPEAKER_0
	616.154	617.673	SPEAKER_1
	621.588	624.794	SPEAKER_2
	625.52	630.463	SPEAKER_2
	630.548	631.628	SPEAKER_1
	634.042	634.649	SPEAKER_2
	637.214	639.239	SPEAKER_2
	639.745	646.85	SPEAKER_2
	667.707	668.399	SPEAKER_2
	670.863	672.922	SPEAKER_2
	673.428	677.596	SPEAKER_2
	677.917	680.313	SPEAKER_2
